# Cleaned OpenScale data
timestamp_s,raw_force_n,despiked_force_n,filtered_force_n,is_outlier
12.740894,0.098067,0.098067,0.031157,0
12.772909,0.068647,0.068647,0.029833,0
12.789001,0.009807,0.009807,0.029578,0
12.821268,0.058840,0.058840,0.029457,0
12.837002,-0.019613,-0.019613,0.029435,0
12.870211,0.058840,0.058840,0.029423,0
12.884959,0.058840,0.058840,0.029421,0
12.917799,0.029420,0.029420,0.044455,0
12.932989,-0.019613,-0.019613,0.047216,0
12.965257,-0.029420,-0.029420,0.048603,0
12.997071,0.009807,0.009807,0.048930,0
13.014435,0.049033,0.049033,0.042773,0
13.045076,0.029420,0.029420,0.032706,0
13.064762,0.049033,0.049033,0.037030,0
13.093055,0.049033,0.049033,0.031407,0
13.109100,0.078453,0.078453,0.036224,0
13.141132,0.000000,0.000000,0.031039,0
13.173716,0.058840,0.058840,0.029800,0
13.189167,0.019613,0.019613,0.029569,0
