# OpenScale raw session
# started_at_utc,2026-06-09T09:52:05.837219+00:00
# started_at_unix,1780998725.837219
# port,/dev/ttyUSB0
# baudrate,115200
timestamp_unix,timestamp_utc,elapsed_s,raw_text,value_kg,unit,is_numeric
1780998734.366948,2026-06-09T09:52:14.366948+00:00,8.529730,"0.001,kg,",0.001000,kg,1
1780998734.398918,2026-06-09T09:52:14.398918+00:00,8.561699,"0.003,kg,",0.003000,kg,1
1780998734.414869,2026-06-09T09:52:14.414869+00:00,8.577650,"0.004,kg,",0.004000,kg,1
1780998734.447387,2026-06-09T09:52:14.447387+00:00,8.610169,"0.003,kg,",0.003000,kg,1
1780998734.462934,2026-06-09T09:52:14.462934+00:00,8.625715,"0.002,kg,",0.002000,kg,1
1780998734.496144,2026-06-09T09:52:14.496144+00:00,8.658925,"0.006,kg,",0.006000,kg,1
1780998734.527027,2026-06-09T09:52:14.527027+00:00,8.689808,"0.011,kg,",0.011000,kg,1
1780998734.543882,2026-06-09T09:52:14.543882+00:00,8.706663,"1.182,kg,",1.182000,kg,1
1780998734.575078,2026-06-09T09:52:14.575078+00:00,8.737860,"1.021,kg,",1.021000,kg,1
1780998734.593185,2026-06-09T09:52:14.593185+00:00,8.755966,"0.580,kg,",0.580000,kg,1
1780998734.623112,2026-06-09T09:52:14.623112+00:00,8.785894,"0.073,kg,",0.073000,kg,1
1780998734.643057,2026-06-09T09:52:14.643057+00:00,8.805838,"-0.000,kg,",-0.000000,kg,1
1780998734.671158,2026-06-09T09:52:14.671158+00:00,8.833939,"0.003,kg,",0.003000,kg,1
1780998734.703157,2026-06-09T09:52:14.703157+00:00,8.865938,"-0.001,kg,",-0.001000,kg,1
1780998734.719203,2026-06-09T09:52:14.719203+00:00,8.881984,"-0.000,kg,",-0.000000,kg,1
1780998734.751236,2026-06-09T09:52:14.751236+00:00,8.914018,"-0.001,kg,",-0.001000,kg,1
1780998734.767202,2026-06-09T09:52:14.767202+00:00,8.929984,"-0.003,kg,",-0.003000,kg,1
1780998734.799732,2026-06-09T09:52:14.799732+00:00,8.962513,"-0.001,kg,",-0.001000,kg,1
1780998734.815219,2026-06-09T09:52:14.815219+00:00,8.978001,"0.004,kg,",0.004000,kg,1
1780998734.847984,2026-06-09T09:52:14.847984+00:00,9.010766,"0.901,kg,",0.901000,kg,1
1780998734.863307,2026-06-09T09:52:14.863307+00:00,9.026088,"1.116,kg,",1.116000,kg,1
1780998734.898640,2026-06-09T09:52:14.898640+00:00,9.061421,"1.003,kg,",1.003000,kg,1
1780998734.927320,2026-06-09T09:52:14.927320+00:00,9.090101,"0.812,kg,",0.812000,kg,1
1780998734.943355,2026-06-09T09:52:14.943355+00:00,9.106137,"0.818,kg,",0.818000,kg,1
1780998734.975413,2026-06-09T09:52:14.975413+00:00,9.138194,"1.015,kg,",1.015000,kg,1
1780998734.991394,2026-06-09T09:52:14.991394+00:00,9.154176,"1.192,kg,",1.192000,kg,1
1780998735.023473,2026-06-09T09:52:15.023473+00:00,9.186254,"1.291,kg,",1.291000,kg,1
1780998735.039433,2026-06-09T09:52:15.039433+00:00,9.202214,"1.334,kg,",1.334000,kg,1
1780998735.071466,2026-06-09T09:52:15.071466+00:00,9.234247,"1.359,kg,",1.359000,kg,1
1780998735.104186,2026-06-09T09:52:15.104186+00:00,9.266967,"1.373,kg,",1.373000,kg,1
1780998735.119451,2026-06-09T09:52:15.119451+00:00,9.282232,"1.463,kg,",1.463000,kg,1
1780998735.153219,2026-06-09T09:52:15.153219+00:00,9.316000,"1.549,kg,",1.549000,kg,1
1780998735.167477,2026-06-09T09:52:15.167477+00:00,9.330258,"1.577,kg,",1.577000,kg,1
1780998735.200183,2026-06-09T09:52:15.200183+00:00,9.362965,"1.618,kg,",1.618000,kg,1
1780998735.215535,2026-06-09T09:52:15.215535+00:00,9.378317,"1.688,kg,",1.688000,kg,1
1780998735.247563,2026-06-09T09:52:15.247563+00:00,9.410345,"1.728,kg,",1.728000,kg,1
1780998735.279484,2026-06-09T09:52:15.279484+00:00,9.442265,"1.689,kg,",1.689000,kg,1
1780998735.295581,2026-06-09T09:52:15.295581+00:00,9.458362,"1.795,kg,",1.795000,kg,1
1780998735.327622,2026-06-09T09:52:15.327622+00:00,9.490404,"1.952,kg,",1.952000,kg,1
1780998735.343572,2026-06-09T09:52:15.343572+00:00,9.506353,"1.974,kg,",1.974000,kg,1
1780998735.375640,2026-06-09T09:52:15.375640+00:00,9.538421,"1.986,kg,",1.986000,kg,1
1780998735.391685,2026-06-09T09:52:15.391685+00:00,9.554467,"2.061,kg,",2.061000,kg,1
1780998735.423704,2026-06-09T09:52:15.423704+00:00,9.586485,"2.093,kg,",2.093000,kg,1
1780998735.439707,2026-06-09T09:52:15.439707+00:00,9.602488,"2.108,kg,",2.108000,kg,1
1780998735.471753,2026-06-09T09:52:15.471753+00:00,9.634535,"2.184,kg,",2.184000,kg,1
1780998735.503766,2026-06-09T09:52:15.503766+00:00,9.666547,"2.249,kg,",2.249000,kg,1
1780998735.519771,2026-06-09T09:52:15.519771+00:00,9.682552,"2.266,kg,",2.266000,kg,1
1780998735.551814,2026-06-09T09:52:15.551814+00:00,9.714595,"2.331,kg,",2.331000,kg,1
1780998735.567859,2026-06-09T09:52:15.567859+00:00,9.730640,"2.390,kg,",2.390000,kg,1
1780998735.599821,2026-06-09T09:52:15.599821+00:00,9.762602,"2.418,kg,",2.418000,kg,1
1780998735.616666,2026-06-09T09:52:15.616666+00:00,9.779447,"2.406,kg,",2.406000,kg,1
1780998735.647881,2026-06-09T09:52:15.647881+00:00,9.810662,"2.562,kg,",2.562000,kg,1
1780998735.679911,2026-06-09T09:52:15.679911+00:00,9.842692,"2.605,kg,",2.605000,kg,1
1780998735.695924,2026-06-09T09:52:15.695924+00:00,9.858705,"2.579,kg,",2.579000,kg,1
1780998735.727941,2026-06-09T09:52:15.727941+00:00,9.890722,"2.586,kg,",2.586000,kg,1
1780998735.743996,2026-06-09T09:52:15.743996+00:00,9.906778,"2.638,kg,",2.638000,kg,1
